Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
25,450000,9000.0,Duplex à vendre,50.0,2.0,1.0,4ème étage,,"Saint Germain des Prés, Paris 6ème arrondissement (75006)",75006.0,https://www.seloger.com/annonces/achat/appartement/paris-6eme-75/saint-germain-des-pres/252864421.htm,48.854182,2.333399
26,895000,10915.0,Appartement à vendre,82.0,4.0,2.0,,,"Auteuil Sud, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-75/272528049.htm,48.850098,2.278011
27,340000,7391.0,Appartement à vendre,46.0,1.0,,RDC/6,,Paris 19ème arrondissement (75019),75019.0,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/272623061.htm,48.887252,2.387708
28,800400,8606.0,Appartement à vendre,93.0,4.0,3.0,6 étages,D,"Auteuil Sud, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/auteuil-sud/269698197.htm,48.850098,2.278011
29,140000,15556.0,Appartement à vendre,9.0,1.0,,7 étages,,"Saint Thomas d'Aquin, Paris 7ème arrondissement (75007)",75007.0,https://www.seloger.com/annonces/achat/appartement/paris-7eme-75/saint-thomas-d-aquin/270743569.htm,48.855888,2.327092
0,624000,10830.0,Appartement à vendre,57.6,2.0,1.0,RDC/6,C,Paris 15ème arrondissement (75015),75015.0,https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/268710751.htm,48.84162,2.295289
1,1800000,17927.0,Appartement à vendre - neuf,100.4,4.0,3.0,1er étage,,"Cambronne-Garibaldi, Paris 15ème arrondissement (75015)",75015.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/252647551/,48.843894,2.302505
2,2045000,16234.0,Duplex à vendre - neuf,126.0,5.0,3.0,3ème étage,,"Cambronne-Garibaldi, Paris 15ème arrondissement (75015)",75015.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/252647551/,48.843894,2.302505
3,132000,1031.0,Appartement en viager · occupé,33.0,2.0,,,,"Archives, Paris 3ème arrondissement (75003)",75003.0,https://www.seloger.com/annonces/achat/appartement/paris-3eme-75/archives/267627001.htm,48.861882,2.358935
4,5500000,23207.0,Appartement à vendre,237.0,4.0,2.0,,,"Muette Nord, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/muette-nord/247304165.htm,48.841905,2.264284
5,499000,10396.0,Appartement à vendre,48.0,3.0,2.0,3ème étage,D,"Jardin de Reuilly, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273419557.htm,48.844756,2.389791
6,235000,8704.0,Appartement à vendre,27.0,2.0,1.0,Étage 3/3,F,"Dupleix-Motte Picquet, Paris 15ème arrondissement (75015)",75015.0,https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/dupleix-motte-picquet/272566937.htm,48.851482,2.297194
7,799000,8878.0,Appartement à vendre,90.0,4.0,3.0,Étage 10/10,E,"Vallée de Fécamp, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273212651.htm,48.834897,2.398856
8,479000,8709.0,Appartement à vendre,55.0,3.0,2.0,Étage 1/12,D,"Buttes Aux Cailles-Glacière, Paris 13ème arrondissement (75013)",75013.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273114309.htm,48.827782,2.349909
9,449000,10442.0,Appartement à vendre,43.0,2.0,1.0,Étage 1/6,D,"Ternes-Maillot, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/ternes-maillot/273477063.htm,48.881115,2.288716
10,1398000,13314.0,Appartement à vendre,105.0,5.0,3.0,Étage 1/7,D,"Notre Dame des Champs, Paris 6ème arrondissement (75006)",75006.0,https://www.bellesdemeures.com/272019801/detail.htm,48.84344,2.331362
